"name","long","lat","callret-3","area"
"Murga",18.4877,46.4614,"80",6.58e+06
"Murony",21.05,46.7667,"1200",3.568e+07
"Sarkadkeresztúr",21.3833,46.8,"1509",3.533e+07
"Sarród",16.8604,47.6317,"1159",4.007e+07
"Sarud",20.59,47.595,"1184",5.162e+07
"Segesd",17.3475,46.3434,"2426",7.309e+07
"Selyeb",20.9535,48.3376,"505",1.664e+07
"Seregélyes",18.5773,47.1109,"4716",7.819e+07
"Tengelic",18.7093,46.5289,"2494",7.093e+07
"Tengeri",18.0893,45.9263,"62",4.46e+06
"Tengöd",18.04,46.7,"404",3.021e+07
"Tenk",20.3411,47.6561,"1194",1.234e+07
"Terem",22.3167,47.8,"698",4.951e+07
"Tereske",19.1927,47.9505,"714",1.704e+07
"Teresztenye",20.6047,48.4455,"39",8.7e+06
"Terpes",20.15,47.9669,"212",2.2e+06
"Tetétlen",21.3052,47.3161,"1455",3.211e+07
"Tevel",18.4555,46.4114,"1692",2.527e+07
"Penyige",22.5667,47.9833,"768",1.889e+07
"Erzsébet",18.459,46.1003,"264",9.75e+06
"Eszteregnye",16.8827,46.4714,"767",2.009e+07
"Esztár",21.7833,47.2833,"1335",3.171e+07
"Ete",18.072,47.5317,"598",2.062e+07
"Etes",19.7188,48.1098,"1517",1.58e+07
"Etyek",18.7496,47.4472,"3922",5.327e+07
"Fadd",18.8202,46.4665,"4529",6.753e+07
"Fajsz",18.916,46.416,"1687",3.199e+07
"Fancsal",21.0633,48.3545,"388",9.77e+06
"Farkasgyepü",17.3754,47.1213,"434",1.005e+07
"Farmos",19.8481,47.3599,"3427",4.012e+07
"Farád",17.2005,47.6055,"1927",2.902e+07
"Fazekasboda",18.4864,46.1236,"213",7.02e+06
"Fedémes",20.1889,48.0319,"317",8.62e+06
"Fehértó",17.3441,47.676,"495",1.138e+07
"Feked",18.5602,46.1624,"212",1.933e+07
"Feketeerdö",17.2783,47.9353,"433",6.74e+06
"Felcsút",18.5848,47.4555,"1688",2.202e+07
"Felgyö",20.1,46.65,"1484",7.673e+07
"Felpéc",17.6002,47.5221,"866",2.247e+07
"Felsöberecki",21.6935,48.3615,"301",3.53e+06
"Felsöcsatár",16.4451,47.215,"474",1.79e+07
"Felsödobsza",21.0728,48.2562,"978",1.519e+07
"Felsögagy",21.0167,48.4327,"161",1.447e+07
"Felsöjánosfa",16.5544,46.8463,"213",3.06e+06
"Felsökelecsény",20.5898,48.3588,"420",7.99e+06
"Felsölajos",19.5167,47.0667,"864",1.141e+07
"Felsömarác",16.5181,46.93,"317",1.744e+07
"Felsömocsolád",17.8276,46.5819,"361",1.651e+07
"Felsönyék",18.2908,46.7886,"1039",3.2e+07
"Felsönána",18.5294,46.4656,"604",1.89e+07
"Felsöregmec",21.6043,48.4917,"271",1.075e+07
"Felsöszentiván",19.1903,46.195,"1815",5.354e+07
"Felsöszölnök",16.1597,46.8706,"584",2.356e+07
"Felsötelekes",20.637,48.4066,"773",8.45e+06
"Felsövadász",20.9201,48.3703,"550",1.864e+07
"Fenyöfö",17.7652,47.3505,"149",2.965e+07
"Ferencszállás",20.35,46.2167,"605",5.79e+06
"Abaliget",18.1168,46.1442,"647",1.609e+07
"Abaújlak",20.9562,48.4057,"110",7.06e+06
"Abaújszolnok",20.9756,48.3732,"156",8.65e+06
