"name","long","lat","callret-3","area"
"Kisbér",18.0269,47.5017,"5348",7.086e+07
"Kiskunfélegyháza",19.85,46.7052,"30172",2.563e+08
"Kiskunhalas",19.4885,46.432,"28997",2.2758e+08
"Kiskunmajsa",19.7368,46.4923,"11707",2.2199e+08
"Kisköre",20.492,47.499,"2911",6.842e+07
"Kistarcsa",19.2634,47.5478,"12645",1.102e+07
"Kistelek",19.98,46.473,"7020",6.919e+07
"Kisvárda",22.0833,48.2167,"16473",3.591e+07
"Kisújszállás",20.7669,47.2169,"12869",2.0527e+08
"Komló",18.2613,46.1912,"25881",4.655e+07
"Komádi",21.5,47.0,"5421",1.4465e+08
"Komárom",18.1244,47.7403,"18805",7.019e+07
"Kondoros",20.8,46.75,"5355",8.184e+07
"Kozármisleny",18.292,46.028,"5802",1.445e+07
"Kunhegyes",20.6308,47.3703,"7521",1.4894e+08
"Kunszentmiklós",19.1228,47.0264,"8793",1.7211e+08
"Kunszentmárton",20.2872,46.8411,"8034",1.4365e+08
"Makó",20.483,46.217,"27727",2.2923e+08
"Marcali",17.4128,46.5858,"11216",1.015e+08
"Martfü",20.2839,47.0169,"6237",2.308e+07
"Mágocs",18.2343,46.3473,"2545",4.254e+07
"Máriakéménd",18.4629,46.0252,"503",1.578e+07
"Mátészalka",22.3167,47.95,"16532",4.181e+07
"Mélykút",19.3796,46.2139,"4763",1.235e+08
"Mór",18.2086,47.3717,"13354",1.0872e+08
"Mórahalom",19.8895,46.2164,"6090",8.315e+07
"Nagyatád",17.3643,46.2226,"10348",7.06e+07
"Nagybajom",17.5079,46.3992,"3312",1.0877e+08
"Nagybudmér",18.4436,45.9367,"159",1.022e+07
"Nagyhalász",21.7667,48.1333,"5676",4.434e+07
"Nagykálló",21.85,47.8833,"10483",6.855e+07
"Nagykörös",19.784,47.0332,"23517",2.2796e+08
"Nagymaros",18.9565,47.7906,"4721",3.439e+07
"Pilisvörösvár",18.9108,47.6211,"14274",2.43e+07
"Polgár",21.1242,47.8663,"8418",9.746e+07
"Polgárdi",18.3049,47.0538,"6783",7.216e+07
"Pomáz",19.0196,47.6431,"15298",4.904e+07
"Pusztaszabolcs",18.7594,47.1413,"5904",5.167e+07
"Putnok",20.4368,48.2939,"7229",3.473e+07
"Pápa",17.468,47.3237,"32473",9.147e+07
"Pásztó",19.7144,47.9202,"10316",7.26e+07
"Pécel",19.3354,47.4893,"14328",4.363e+07
"Pécsvárad",18.4222,46.1581,"4026",1.1216e+08
"Pócsa",18.4705,45.9125,"155",8.05e+06
"Püspökladány",21.1167,47.3167,"16126",1.8695e+08
"Cegléd",19.802,47.1743,"38220",2.4487e+08
"Celldömölk",17.1491,47.2556,"11478",5.239e+07
"Dunaharaszti",19.0948,47.3539,"20112",2.917e+07
"Dunakeszi",19.1412,47.6303,"43490",3.106e+07
"Dunavarsány",19.0672,47.278,"8341",2.252e+07
"Dunavecse",18.9724,46.9137,"4079",6.677e+07
"Dévaványa",20.959,47.03,"8273",2.1673e+08
"Siklós",18.2988,45.8521,"9964",5.092e+07
"Siófok",18.0901,46.9239,"25468",1.2466e+08
"Solt",19.0042,46.801,"6721",1.3267e+08
"Berettyóújfalu",21.55,47.2167,"14614",1.7098e+08
"Besenyszög",20.2594,47.2972,"3279",1.3808e+08
"Biatorbágy",18.8252,47.4712,"13132",4.38e+07
"Bicske",18.6362,47.4907,"12100",7.888e+07
"Biharkeresztes",21.7167,47.1333,"4149",4.926e+07
"Dabas",19.3126,47.189,"16093",1.6599e+08
"Dad",18.2272,47.5184,"1008",2.375e+07
"Fertöd",16.8814,47.6187,"3360",4.854e+07
"Fertöszentmiklós",16.8705,47.5853,"3854",3.939e+07
"Hásságy",18.3833,46.0333,"254",8e+06
"Ibrány",21.7167,48.1333,"6751",6.042e+07
"Izsák",19.3596,46.8005,"5622",1.1376e+08
"Kalocsa",18.9858,46.5335,"16136",5.318e+07
"Kapuvár",17.0333,47.6,"10458",9.605e+07
"Karcag",20.9161,47.3111,"19732",3.6863e+08
"Kazincbarcika",20.6456,48.2532,"29256",3.67e+07
"Kecel",19.25,46.533,"8892",1.1448e+08
"Kemecse",21.8,48.0667,"4815",3.894e+07
"Kenderes",20.6739,47.2469,"4508",1.1124e+08
"Kerekegyháza",19.29,46.56,"6180",8.128e+07
"Keszthely",17.2481,46.7696,"19652",7.598e+07
"Nyergesújfalu",18.5487,47.7568,"7649",3.951e+07
"Nyékládháza",20.8371,47.9917,"5108",2.453e+07
"Nyíradony",21.9167,47.6833,"8070",9.659e+07
"Nyírbátor",22.1333,47.8333,"12259",6.673e+07
"Nádudvar",21.1667,47.4167,"8472",2.2591e+08
"Olasz",18.4133,46.0125,"637",1.029e+07
"Onga",20.9074,48.119,"4746",3.149e+07
"Orosháza",20.6667,46.5667,"28888",2.0222e+08
"Oroszlány",18.3127,47.4836,"20034",7.586e+07
"Paks",18.8559,46.622,"19833",1.5408e+08
"Parádsasvár",19.9833,47.9167,"419",1.694e+07
"Rudabánya",20.6208,48.375,"2721",1.646e+07
"Rácalmás",18.9404,47.0253,"4470",4.065e+07
"Rákóczifalva",20.2289,47.0931,"5307",3.594e+07
"Rém",19.15,46.25,"1233",3.993e+07
"Rétság",19.1367,47.9296,"3017",1.978e+07
